"var","evalue","yvar"
"Income",1.79727218933976e-54,"High emotional problems (parent)"
"Siblings",5.17801323962937e-55,"High emotional problems (parent)"
"Distress",0.000189651524498601,"High emotional problems (parent)"
"Time",2.55744390867458e-55,"High emotional problems (parent)"
"Illness",2.78500013347509e-22,"High emotional problems (parent)"
"Employed",1.64610865684796e-55,"High emotional problems (parent)"
"Score",1.0023029152789e-49,"High emotional problems (parent)"
"Father",8.05624842234918e-55,"High emotional problems (parent)"
"Closeness",4.76578699078075e-53,"High emotional problems (parent)"
"Ethnicity",1.86367932460765e-55,"High emotional problems (parent)"
"Motivation",1.86477785492807e-41,"High emotional problems (parent)"
"BMI",5.25197707442409e-54,"High emotional problems (parent)"
"Age",2.58586372374635e-55,"High emotional problems (parent)"
"Male",1.23668501717134e-35,"High emotional problems (parent)"
"`Own computer`",2.97755570769482e-55,"High emotional problems (parent)"
"`Other internet`",2.59924082411171e-55,"High emotional problems (parent)"
"`Social media`",1.18022196897922e-53,"High emotional problems (parent)"
"`Electronic games`",4.97229070994353e-55,"High emotional problems (parent)"
"TV",1.97253863935893e-55,"High emotional problems (parent)"
"(Intercept)",1.55877630349684e-55,"High emotional problems (parent)"
