"var","evalue","yvar"
"Income",2.23611171853249e-16,"High emotional problems (parent)"
"Siblings",8.62910661072326e-17,"High emotional problems (parent)"
"Distress",2034121865951616,"High emotional problems (parent)"
"Time",1.03373711002207e-16,"High emotional problems (parent)"
"Illness",0.0936000531291535,"High emotional problems (parent)"
"Employed",1.15174680635304e-16,"High emotional problems (parent)"
"Score",4.250631525509e-12,"High emotional problems (parent)"
"Father",8.96644888875332e-17,"High emotional problems (parent)"
"Closeness",2.94846361629956e-15,"High emotional problems (parent)"
"Ethnicity",3.6339177945201e-16,"High emotional problems (parent)"
"Motivation",2.33181756841634e-11,"High emotional problems (parent)"
"BMI",3.05401127268378e-16,"High emotional problems (parent)"
"Age",8.70514973898331e-17,"High emotional problems (parent)"
"Male",3.76605460998101e-06,"High emotional problems (parent)"
"`Own computer`",2.37005503844444e-16,"High emotional problems (parent)"
"`Other internet`",2.07542813382891e-15,"High emotional problems (parent)"
"`Social media`",9.17037573196648e-17,"High emotional problems (parent)"
"`Electronic games`",9.14116310602349e-17,"High emotional problems (parent)"
"TV",9.55506987613413e-17,"High emotional problems (parent)"
"(Intercept)",8.57737075520443e-17,"High emotional problems (parent)"
