"llik","modname","yvar"
-3509.40388049652,"minIncome","High emotional problems (parent)"
-3508.15944677667,"minSiblings","High emotional problems (parent)"
-3624.58688320174,"minDistress","High emotional problems (parent)"
-3507.45403362495,"minTime","High emotional problems (parent)"
-3583.52458132855,"minIllness","High emotional problems (parent)"
-3507.01343945119,"minEmployed","High emotional problems (parent)"
-3520.33283616404,"minScore","High emotional problems (parent)"
-3508.60147333032,"minFather","High emotional problems (parent)"
-3512.68165820861,"minCloseness","High emotional problems (parent)"
-3507.13757800375,"minEthnicity","High emotional problems (parent)"
-3539.37435857372,"minMotivation","High emotional problems (parent)"
-3510.47621502275,"minBMI","High emotional problems (parent)"
-3507.4650849197,"minAge","High emotional problems (parent)"
-3552.77916162485,"minMale","High emotional problems (parent)"
-3507.60612807007,"min`Own computer`","High emotional problems (parent)"
-3507.47024475011,"min`Other internet`","High emotional problems (parent)"
-3511.28589805452,"min`Social media`","High emotional problems (parent)"
-3508.1189059798,"min`Electronic games`","High emotional problems (parent)"
-3507.19434670102,"minTV","High emotional problems (parent)"
-3506.95892643105,"min(Intercept)","High emotional problems (parent)"
