"llik","modname","yvar"
-2223.80823781852,"minIncome","Low self-esteem (adolescent)"
-2224.59939150798,"minSiblings","Low self-esteem (adolescent)"
-2223.86282802833,"minDistress","Low self-esteem (adolescent)"
-2224.76537504479,"minTime","Low self-esteem (adolescent)"
-2233.73387116305,"minIllness","Low self-esteem (adolescent)"
-2224.24738567372,"minEmployed","Low self-esteem (adolescent)"
-2225.09750246913,"minScore","Low self-esteem (adolescent)"
-2223.85295335088,"minFather","Low self-esteem (adolescent)"
-2278.61261774557,"minCloseness","Low self-esteem (adolescent)"
-2223.84168700118,"minEthnicity","Low self-esteem (adolescent)"
-2431.10272697668,"minMotivation","Low self-esteem (adolescent)"
-2242.20786728155,"minBMI","Low self-esteem (adolescent)"
-2223.92257412342,"minAge","Low self-esteem (adolescent)"
-2314.46977419552,"minMale","Low self-esteem (adolescent)"
-2224.82299804221,"min`Own computer`","Low self-esteem (adolescent)"
-2243.29504005608,"min`Other internet`","Low self-esteem (adolescent)"
-2230.7347809297,"min`Social media`","Low self-esteem (adolescent)"
-2223.85708471976,"min`Electronic games`","Low self-esteem (adolescent)"
-2224.33044661129,"minTV","Low self-esteem (adolescent)"
-2230.26622560338,"min(Intercept)","Low self-esteem (adolescent)"
