"hyp","evalue","BHcrit","rejected"
"DistressXHigh emotional problems (parent)",7287067.69834463,TRUE,TRUE
"IllnessXHigh emotional problems (parent)",0.0935654747545795,FALSE,FALSE
"MaleXHigh emotional problems (parent)",7.60358586792308e-06,FALSE,FALSE
"MotivationXHigh emotional problems (parent)",6.33757630772058e-11,FALSE,FALSE
"ClosenessXHigh emotional problems (parent)",1.94675600194108e-11,FALSE,FALSE
"ScoreXHigh emotional problems (parent)",3.44610543812199e-12,FALSE,FALSE
"FatherXHigh emotional problems (parent)",2.32160364599942e-13,FALSE,FALSE
"`Social media`XHigh emotional problems (parent)",1.13823423017237e-13,FALSE,FALSE
"SiblingsXHigh emotional problems (parent)",9.06072636486523e-14,FALSE,FALSE
"BMIXHigh emotional problems (parent)",8.88054734244299e-14,FALSE,FALSE
"`Electronic games`XHigh emotional problems (parent)",8.36934216803222e-14,FALSE,FALSE
"TimeXHigh emotional problems (parent)",7.00509947126913e-14,FALSE,FALSE
"IncomeXHigh emotional problems (parent)",6.69002705120299e-14,FALSE,FALSE
"EmployedXHigh emotional problems (parent)",4.5681736570823e-14,FALSE,FALSE
"AgeXHigh emotional problems (parent)",3.95465128218022e-14,FALSE,FALSE
"`Other internet`XHigh emotional problems (parent)",3.88582238513445e-14,FALSE,FALSE
"EthnicityXHigh emotional problems (parent)",3.04589938095299e-14,FALSE,FALSE
"`Own computer`XHigh emotional problems (parent)",2.98408648678059e-14,FALSE,FALSE
"TVXHigh emotional problems (parent)",2.82154498599432e-14,FALSE,FALSE
