"var","evalue","yvar"
"Income",4.96403492475686e-18,"Low pro-sociality (parent)"
"Siblings",7.18361682539143e-16,"Low pro-sociality (parent)"
"Distress",3.44118932547531e-16,"Low pro-sociality (parent)"
"Time",4.73824849548748e-18,"Low pro-sociality (parent)"
"Illness",1.4822921494593e-17,"Low pro-sociality (parent)"
"Employed",6.45911878981287e-18,"Low pro-sociality (parent)"
"Score",6.9267358014521e-18,"Low pro-sociality (parent)"
"Father",8.47839000157719e-18,"Low pro-sociality (parent)"
"Closeness",3.27164017567017e-09,"Low pro-sociality (parent)"
"Ethnicity",4.46351232765026e-18,"Low pro-sociality (parent)"
"Motivation",3.7898952180131e-16,"Low pro-sociality (parent)"
"BMI",5.25703188571795e-18,"Low pro-sociality (parent)"
"Age",3.7499271938976e-18,"Low pro-sociality (parent)"
"Male",6.98493046670821e-17,"Low pro-sociality (parent)"
"`Own computer`",3.97264285513318e-18,"Low pro-sociality (parent)"
"`Other internet`",3.77428103930668e-18,"Low pro-sociality (parent)"
"`Social media`",1.49206235384685e-17,"Low pro-sociality (parent)"
"`Electronic games`",2.22447624583215e-16,"Low pro-sociality (parent)"
"TV",3.68819060362714e-17,"Low pro-sociality (parent)"
"(Intercept)",3.86104761638487e-18,"Low pro-sociality (parent)"
