"var","evalue","yvar"
"Income",6.69002705120299e-14,"High emotional problems (parent)"
"Siblings",9.06072636486523e-14,"High emotional problems (parent)"
"Distress",7287067.69834463,"High emotional problems (parent)"
"Time",7.00509947126913e-14,"High emotional problems (parent)"
"Illness",0.0935654747545795,"High emotional problems (parent)"
"Employed",4.5681736570823e-14,"High emotional problems (parent)"
"Score",3.44610543812199e-12,"High emotional problems (parent)"
"Father",2.32160364599942e-13,"High emotional problems (parent)"
"Closeness",1.94675600194108e-11,"High emotional problems (parent)"
"Ethnicity",3.04589938095299e-14,"High emotional problems (parent)"
"Motivation",6.33757630772058e-11,"High emotional problems (parent)"
"BMI",8.88054734244299e-14,"High emotional problems (parent)"
"Age",3.95465128218022e-14,"High emotional problems (parent)"
"Male",7.60358586792308e-06,"High emotional problems (parent)"
"`Own computer`",2.98408648678059e-14,"High emotional problems (parent)"
"`Other internet`",3.88582238513445e-14,"High emotional problems (parent)"
"`Social media`",1.13823423017237e-13,"High emotional problems (parent)"
"`Electronic games`",8.36934216803222e-14,"High emotional problems (parent)"
"TV",2.82154498599432e-14,"High emotional problems (parent)"
"(Intercept)",3.02754932546664e-14,"High emotional problems (parent)"
