"var","evalue","yvar"
"Income",5.63667523511806e-14,"High emotional problems (parent)"
"Siblings",7.63410544114815e-14,"High emotional problems (parent)"
"Distress",6139711.20258802,"High emotional problems (parent)"
"Time",5.90213917029544e-14,"High emotional problems (parent)"
"Illness",0.0788334920583566,"High emotional problems (parent)"
"Employed",3.84890989610637e-14,"High emotional problems (parent)"
"Score",2.90351250181791e-12,"High emotional problems (parent)"
"Father",1.95606470302861e-13,"High emotional problems (parent)"
"Closeness",1.64023721592957e-11,"High emotional problems (parent)"
"Ethnicity",2.56631931050143e-14,"High emotional problems (parent)"
"Motivation",5.33971823297424e-11,"High emotional problems (parent)"
"BMI",7.48229579586539e-14,"High emotional problems (parent)"
"Age",3.33198726629734e-14,"High emotional problems (parent)"
"Male",6.40639325249198e-06,"High emotional problems (parent)"
"`Own computer`",2.51423892171886e-14,"High emotional problems (parent)"
"`Other internet`",3.27399555169454e-14,"High emotional problems (parent)"
"`Social media`",9.59018049982708e-14,"High emotional problems (parent)"
"`Electronic games`",7.05158041540258e-14,"High emotional problems (parent)"
"TV",2.37728975168581e-14,"High emotional problems (parent)"
"(Intercept)",2.55085849060767e-14,"High emotional problems (parent)"
