"","0.5 %","99.5 %"
"(Intercept)",-285.791472008822,-250.920181265767
"TV",-1.08480796833207,0.156869076335363
"Electronic_games",-0.404315604429817,0.547142486440354
"Social_media",0.160083073141329,1.54502190339119
"Other_internet",0.738847539037019,2.13981602496199
"Own_computer",-0.567899194832956,0.13597689701651
"Male",-1.79896577467218,-1.13694585381995
"Age",-0.321143306262238,0.221768658352842
"BMI",0.0301183914518758,0.0895139600008967
"Motivation",-2.16346069870212,-1.58855726213316
"Ethnicity",-0.468069127435965,0.369648983950991
"Closeness",-0.922229455455174,-0.537305344159226
"Father",225.056037839945,147.922791254592
"Score",-0.0272761254642025,0.0417345235164129
"Employed",-0.411577882882669,0.28574871636602
"Illness",0.199687886620391,0.832541470683965
"Time",-0.197231836988925,0.101883118854178
"Distress",-0.0455970349544153,0.0216271946088984
"Siblings",-0.249654168753218,0.0322545038395223
"Income",-0.00110283406722315,0.000865982804915756
