"var","evalue","yvar"
"Income",2.76159123993986e-63,"Low self-esteem (adolescent)"
"Siblings",6.0919043821597e-63,"Low self-esteem (adolescent)"
"Distress",2.91653789259817e-63,"Low self-esteem (adolescent)"
"Time",7.19182005052439e-63,"Low self-esteem (adolescent)"
"Illness",5.64686216782779e-59,"Low self-esteem (adolescent)"
"Employed",4.28429026119334e-63,"Low self-esteem (adolescent)"
"Score",1.00248970159409e-62,"Low self-esteem (adolescent)"
"Father",2.88787974945738e-63,"Low self-esteem (adolescent)"
"Closeness",1.74742756740981e-39,"Low self-esteem (adolescent)"
"Ethnicity",2.85552648014975e-63,"Low self-esteem (adolescent)"
"Motivation",2.93773195131155e+27,"Low self-esteem (adolescent)"
"BMI",2.70406384408982e-55,"Low self-esteem (adolescent)"
"Age",3.09610030886107e-63,"Low self-esteem (adolescent)"
"Male",6.53076964994012e-24,"Low self-esteem (adolescent)"
"`Own computer`",7.61840685353587e-63,"Low self-esteem (adolescent)"
"`Other internet`",8.01992077512858e-55,"Low self-esteem (adolescent)"
"`Social media`",2.81396601639616e-60,"Low self-esteem (adolescent)"
"`Electronic games`",2.8998353254252e-63,"Low self-esteem (adolescent)"
"TV",4.65534416545304e-63,"Low self-esteem (adolescent)"
"(Intercept)",1.76127777768213e-60,"Low self-esteem (adolescent)"
