"llik","modname","yvar"
-1770.76818118075,"minIncome","High emotional problems (parent)"
-1771.07151255266,"minSiblings","High emotional problems (parent)"
-1816.90536635191,"minDistress","High emotional problems (parent)"
-1770.81420164282,"minTime","High emotional problems (parent)"
-1798.73466074201,"minIllness","High emotional problems (parent)"
-1770.38667675072,"minEmployed","High emotional problems (parent)"
-1774.70997818397,"minScore","High emotional problems (parent)"
-1772.0124065297,"minFather","High emotional problems (parent)"
-1776.4414829406,"minCloseness","High emotional problems (parent)"
-1769.98135948385,"minEthnicity","High emotional problems (parent)"
-1777.62181495159,"minMotivation","High emotional problems (parent)"
-1771.05142645586,"minBMI","High emotional problems (parent)"
-1770.24245568904,"minAge","High emotional problems (parent)"
-1789.31686396779,"minMale","High emotional problems (parent)"
-1769.96085692852,"min`Own computer`","High emotional problems (parent)"
-1770.22489790666,"min`Other internet`","High emotional problems (parent)"
-1771.29962649677,"min`Social media`","High emotional problems (parent)"
-1770.99213855048,"min`Electronic games`","High emotional problems (parent)"
-1769.90484786539,"minTV","High emotional problems (parent)"
-1769.97531675188,"min(Intercept)","High emotional problems (parent)"
