"var","evalue","yvar"
"Income",1.79687817516143e-13,"Low self-esteem (adolescent)"
"Siblings",1.58689155157473e-13,"Low self-esteem (adolescent)"
"Distress",1.57254323807022e-13,"Low self-esteem (adolescent)"
"Time",6.92523229367564e-13,"Low self-esteem (adolescent)"
"Illness",1.01196368943569e-09,"Low self-esteem (adolescent)"
"Employed",1.80978954351695e-13,"Low self-esteem (adolescent)"
"Score",2.57626431784034e-13,"Low self-esteem (adolescent)"
"Father",1.90844853463401e-13,"Low self-esteem (adolescent)"
"Closeness",2661.97243670061,"Low self-esteem (adolescent)"
"Ethnicity",1.74564180858645e-13,"Low self-esteem (adolescent)"
"Motivation",7.08389626135461e+29,"Low self-esteem (adolescent)"
"BMI",2.87082420382581e-07,"Low self-esteem (adolescent)"
"Age",1.56797610939527e-13,"Low self-esteem (adolescent)"
"Male",4819385.51743252,"Low self-esteem (adolescent)"
"`Own computer`",2.63410417167194e-13,"Low self-esteem (adolescent)"
"`Other internet`",1.65832419865607e-09,"Low self-esteem (adolescent)"
"`Social media`",1.96473533127312e-10,"Low self-esteem (adolescent)"
"`Electronic games`",2.40703471619368e-13,"Low self-esteem (adolescent)"
"TV",3.8055489881438e-13,"Low self-esteem (adolescent)"
"(Intercept)",1.17739016057234e-12,"Low self-esteem (adolescent)"
