"var","evalue","yvar"
"Income",6.49452702709623e-22,"Low pro-sociality (parent)"
"Siblings",3.45187403906971e-20,"Low pro-sociality (parent)"
"Distress",3.15672248148869e-19,"Low pro-sociality (parent)"
"Time",6.63444986385605e-22,"Low pro-sociality (parent)"
"Illness",1.92443629668733e-20,"Low pro-sociality (parent)"
"Employed",5.55822581442999e-22,"Low pro-sociality (parent)"
"Score",5.52630629060551e-22,"Low pro-sociality (parent)"
"Father",5.57592521587254e-22,"Low pro-sociality (parent)"
"Closeness",9.88838318043614e-13,"Low pro-sociality (parent)"
"Ethnicity",6.64505787866525e-22,"Low pro-sociality (parent)"
"Motivation",3.01400957221161e-15,"Low pro-sociality (parent)"
"BMI",5.52690840858797e-22,"Low pro-sociality (parent)"
"Age",1.76690791779741e-21,"Low pro-sociality (parent)"
"Male",3.37609534499527e-17,"Low pro-sociality (parent)"
"`Own computer`",3.04011221689992e-21,"Low pro-sociality (parent)"
"`Other internet`",1.83838282932963e-21,"Low pro-sociality (parent)"
"`Social media`",5.52275943742991e-22,"Low pro-sociality (parent)"
"`Electronic games`",2.99852645967494e-21,"Low pro-sociality (parent)"
"TV",6.10872390571889e-22,"Low pro-sociality (parent)"
"(Intercept)",2.52564142133372e-21,"Low pro-sociality (parent)"
