"llik","modname","yvar"
-1119.22324949497,"minIncome","Low self-esteem (adolescent)"
-1119.09897578664,"minSiblings","Low self-esteem (adolescent)"
-1119.08989288853,"minDistress","Low self-esteem (adolescent)"
-1120.57237027865,"minTime","Low self-esteem (adolescent)"
-1127.85943174512,"minIllness","Low self-esteem (adolescent)"
-1119.23040924714,"minEmployed","Low self-esteem (adolescent)"
-1119.58353909376,"minScore","Low self-esteem (adolescent)"
-1119.28348930937,"minFather","Low self-esteem (adolescent)"
-1156.45762753639,"minCloseness","Low self-esteem (adolescent)"
-1119.19432096958,"minEthnicity","Low self-esteem (adolescent)"
-1217.30359666441,"minMotivation","Low self-esteem (adolescent)"
-1133.50730840847,"minBMI","Low self-esteem (adolescent)"
-1119.08698436838,"minAge","Low self-esteem (adolescent)"
-1163.95896188374,"minMale","Low self-esteem (adolescent)"
-1119.60574183432,"min`Own computer`","Low self-esteem (adolescent)"
-1128.35334662848,"min`Other internet`","Low self-esteem (adolescent)"
-1126.22031150669,"min`Social media`","Low self-esteem (adolescent)"
-1119.51559426464,"min`Electronic games`","Low self-esteem (adolescent)"
-1119.97365894455,"minTV","Low self-esteem (adolescent)"
-1121.10308403659,"min(Intercept)","Low self-esteem (adolescent)"
