"hyp","evalue","BHcrit","rejected"
"MotivationXLow self-esteem (adolescent)",2.93773195131155e+27,TRUE,TRUE
"MaleXLow self-esteem (adolescent)",6.53076964994012e-24,FALSE,FALSE
"ClosenessXLow self-esteem (adolescent)",1.74742756740981e-39,FALSE,FALSE
"`Other internet`XLow self-esteem (adolescent)",8.01992077512858e-55,FALSE,FALSE
"BMIXLow self-esteem (adolescent)",2.70406384408982e-55,FALSE,FALSE
"IllnessXLow self-esteem (adolescent)",5.64686216782779e-59,FALSE,FALSE
"`Social media`XLow self-esteem (adolescent)",2.81396601639616e-60,FALSE,FALSE
"ScoreXLow self-esteem (adolescent)",1.00248970159409e-62,FALSE,FALSE
"`Own computer`XLow self-esteem (adolescent)",7.61840685353587e-63,FALSE,FALSE
"TimeXLow self-esteem (adolescent)",7.19182005052439e-63,FALSE,FALSE
"SiblingsXLow self-esteem (adolescent)",6.0919043821597e-63,FALSE,FALSE
"TVXLow self-esteem (adolescent)",4.65534416545304e-63,FALSE,FALSE
"EmployedXLow self-esteem (adolescent)",4.28429026119334e-63,FALSE,FALSE
"AgeXLow self-esteem (adolescent)",3.09610030886107e-63,FALSE,FALSE
"DistressXLow self-esteem (adolescent)",2.91653789259817e-63,FALSE,FALSE
"`Electronic games`XLow self-esteem (adolescent)",2.8998353254252e-63,FALSE,FALSE
"FatherXLow self-esteem (adolescent)",2.88787974945738e-63,FALSE,FALSE
"EthnicityXLow self-esteem (adolescent)",2.85552648014975e-63,FALSE,FALSE
"IncomeXLow self-esteem (adolescent)",2.76159123993986e-63,FALSE,FALSE
