"hyp","evalue","BHcrit","rejected"
"MotivationXLow self-esteem (adolescent)",7.08389626135461e+29,TRUE,TRUE
"MaleXLow self-esteem (adolescent)",4819385.51743252,TRUE,TRUE
"ClosenessXLow self-esteem (adolescent)",2661.97243670061,TRUE,TRUE
"BMIXLow self-esteem (adolescent)",2.87082420382581e-07,FALSE,FALSE
"`Other internet`XLow self-esteem (adolescent)",1.65832419865607e-09,FALSE,FALSE
"IllnessXLow self-esteem (adolescent)",1.01196368943569e-09,FALSE,FALSE
"`Social media`XLow self-esteem (adolescent)",1.96473533127312e-10,FALSE,FALSE
"TimeXLow self-esteem (adolescent)",6.92523229367564e-13,FALSE,FALSE
"TVXLow self-esteem (adolescent)",3.8055489881438e-13,FALSE,FALSE
"`Own computer`XLow self-esteem (adolescent)",2.63410417167194e-13,FALSE,FALSE
"ScoreXLow self-esteem (adolescent)",2.57626431784034e-13,FALSE,FALSE
"`Electronic games`XLow self-esteem (adolescent)",2.40703471619368e-13,FALSE,FALSE
"FatherXLow self-esteem (adolescent)",1.90844853463401e-13,FALSE,FALSE
"EmployedXLow self-esteem (adolescent)",1.80978954351695e-13,FALSE,FALSE
"IncomeXLow self-esteem (adolescent)",1.79687817516143e-13,FALSE,FALSE
"EthnicityXLow self-esteem (adolescent)",1.74564180858645e-13,FALSE,FALSE
"SiblingsXLow self-esteem (adolescent)",1.58689155157473e-13,FALSE,FALSE
"DistressXLow self-esteem (adolescent)",1.57254323807022e-13,FALSE,FALSE
"AgeXLow self-esteem (adolescent)",1.56797610939527e-13,FALSE,FALSE
