"hyp","evalue","rejected","outcome","var"
"TVXDepressed (adolescent)",2.50423319774653e-46,"FALSE","Depressed (adolescent)","TV"
"Electronic_gamesXDepressed (adolescent)",3.71005292569382e-45,"FALSE","Depressed (adolescent)","Electronic_games"
"Social_mediaXDepressed (adolescent)",6.80234226077383e-42,"FALSE","Depressed (adolescent)","Social_media"
"Other_internetXDepressed (adolescent)",1.14829806039946e-42,"FALSE","Depressed (adolescent)","Other_internet"
"Own_computerXDepressed (adolescent)",3.64882790230061e-46,"FALSE","Depressed (adolescent)","Own_computer"
"TVXLow self-esteem (adolescent)",6.86552939274271e-46,"FALSE","Low self-esteem (adolescent)","TV"
"Electronic_gamesXLow self-esteem (adolescent)",1.15493116378593e-46,"FALSE","Low self-esteem (adolescent)","Electronic_games"
"Social_mediaXLow self-esteem (adolescent)",1.67021077531168e-44,"FALSE","Low self-esteem (adolescent)","Social_media"
"Other_internetXLow self-esteem (adolescent)",1.5209882688514e-40,"FALSE","Low self-esteem (adolescent)","Other_internet"
"Own_computerXLow self-esteem (adolescent)",3.92892073559403e-46,"FALSE","Low self-esteem (adolescent)","Own_computer"
"TVXHigh total difficulties (parent)",1.21349248220878e-39,"FALSE","High total difficulties (parent)","TV"
"Electronic_gamesXHigh total difficulties (parent)",1.50095034510019e-37,"FALSE","High total difficulties (parent)","Electronic_games"
"Social_mediaXHigh total difficulties (parent)",2.08121643550887e-38,"FALSE","High total difficulties (parent)","Social_media"
"Other_internetXHigh total difficulties (parent)",3.4034801827902e-40,"FALSE","High total difficulties (parent)","Other_internet"
"Own_computerXHigh total difficulties (parent)",3.23147381149395e-40,"FALSE","High total difficulties (parent)","Own_computer"
"TVXHigh emotional problems (parent)",1.12492176624839e-36,"FALSE","High emotional problems (parent)","TV"
"Electronic_gamesXHigh emotional problems (parent)",1.37457124551409e-36,"FALSE","High emotional problems (parent)","Electronic_games"
"Social_mediaXHigh emotional problems (parent)",1.97530614765602e-36,"FALSE","High emotional problems (parent)","Social_media"
"Other_internetXHigh emotional problems (parent)",2.56198612088198e-35,"FALSE","High emotional problems (parent)","Other_internet"
"Own_computerXHigh emotional problems (parent)",2.92883262431617e-36,"FALSE","High emotional problems (parent)","Own_computer"
"TVXHigh conduct problems (parent)",7.29907178418692e-40,"FALSE","High conduct problems (parent)","TV"
"Electronic_gamesXHigh conduct problems (parent)",4.15258617310915e-39,"FALSE","High conduct problems (parent)","Electronic_games"
"Social_mediaXHigh conduct problems (parent)",5.46474043146456e-41,"FALSE","High conduct problems (parent)","Social_media"
"Other_internetXHigh conduct problems (parent)",1.52466626314608e-40,"FALSE","High conduct problems (parent)","Other_internet"
"Own_computerXHigh conduct problems (parent)",3.58991663145915e-40,"FALSE","High conduct problems (parent)","Own_computer"
"TVXHigh hyperactivity/inattention (parent)",1.60512071327115e-38,"FALSE","High hyperactivity/inattention (parent)","TV"
"Electronic_gamesXHigh hyperactivity/inattention (parent)",3.19992362971058e-38,"FALSE","High hyperactivity/inattention (parent)","Electronic_games"
"Social_mediaXHigh hyperactivity/inattention (parent)",1.78203371837132e-38,"FALSE","High hyperactivity/inattention (parent)","Social_media"
"Other_internetXHigh hyperactivity/inattention (parent)",1.81241559503859e-38,"FALSE","High hyperactivity/inattention (parent)","Other_internet"
"Own_computerXHigh hyperactivity/inattention (parent)",1.95399110014607e-38,"FALSE","High hyperactivity/inattention (parent)","Own_computer"
"TVXHigh peer problems (parent)",2.11417785926248e-38,"FALSE","High peer problems (parent)","TV"
"Electronic_gamesXHigh peer problems (parent)",1.44589569325202e-37,"FALSE","High peer problems (parent)","Electronic_games"
"Social_mediaXHigh peer problems (parent)",4.42302158333902e-37,"FALSE","High peer problems (parent)","Social_media"
"Other_internetXHigh peer problems (parent)",1.46939373520934e-34,"FALSE","High peer problems (parent)","Other_internet"
"Own_computerXHigh peer problems (parent)",8.60024124898356e-39,"FALSE","High peer problems (parent)","Own_computer"
"TVXLow pro-sociality (parent)",1.34263886151704e-33,"FALSE","Low pro-sociality (parent)","TV"
"Electronic_gamesXLow pro-sociality (parent)",7.89132864474594e-31,"FALSE","Low pro-sociality (parent)","Electronic_games"
"Social_mediaXLow pro-sociality (parent)",3.32903234578683e-33,"FALSE","Low pro-sociality (parent)","Social_media"
"Other_internetXLow pro-sociality (parent)",1.69935516427252e-33,"FALSE","Low pro-sociality (parent)","Other_internet"
"Own_computerXLow pro-sociality (parent)",4.42500503298235e-33,"FALSE","Low pro-sociality (parent)","Own_computer"
