"var","evalue","yvar"
"Income",7.75488506969997e-14,"Low self-esteem (adolescent)"
"Siblings",6.84863435409821e-14,"Low self-esteem (adolescent)"
"Distress",6.78671055552932e-14,"Low self-esteem (adolescent)"
"Time",2.98876024322598e-13,"Low self-esteem (adolescent)"
"Illness",4.36738684612175e-10,"Low self-esteem (adolescent)"
"Employed",7.81060736577638e-14,"Low self-esteem (adolescent)"
"Score",1.11185243218984e-13,"Low self-esteem (adolescent)"
"Father",8.23639535061659e-14,"Low self-esteem (adolescent)"
"Closeness",1148.84195215225,"Low self-esteem (adolescent)"
"Ethnicity",7.53376149011045e-14,"Low self-esteem (adolescent)"
"Motivation",3.05723571646959e+29,"Low self-esteem (adolescent)"
"BMI",1.23897724752441e-07,"Low self-esteem (adolescent)"
"Age",6.76699994940013e-14,"Low self-esteem (adolescent)"
"Male",2079928.4732204,"Low self-esteem (adolescent)"
"`Own computer`",1.13681469313288e-13,"Low self-esteem (adolescent)"
"`Other internet`",7.15692012215839e-10,"Low self-esteem (adolescent)"
"`Social media`",8.47931534648033e-11,"Low self-esteem (adolescent)"
"`Electronic games`",1.0388170907125e-13,"Low self-esteem (adolescent)"
"TV",1.64238151690594e-13,"Low self-esteem (adolescent)"
"(Intercept)",5.08132688328399e-13,"Low self-esteem (adolescent)"
